Performing real default function...
AA, 126.0, 0.06
AAN, 7.0, 0.01
AAON, 103.49999999999999, 0.11499999999999999
AAP, 12.0, 0.06
AAT, 210.0, 0.21
ABBC, 135.0, 0.05
ABC, 10.0, 0.02
ABFS, 80.0, 0.08
ABM, 54.0, 0.06
ABT, 42.00000000000001, 0.14
ACC, 170.0, 0.34
ACE, 34.0, 0.17
ACET, 120.0, 0.04
ACI, 65.0, 0.05
ACN, 135.0, 0.45
ACO, 42.0, 0.06
ADC, 368.0, 0.46
ADI, 90.0, 0.18
ADM, 24.0, 0.04
ADP, 18.0, 0.06
ADTN, 54.0, 0.09
AEA, 198.0, 0.09
AEC, 228.0, 0.19
AEE, 384.0, 0.64
AEL, 108.0, 0.06
AEO, 130.0, 0.1
AEP, 280.0, 0.56
AET, 32.0, 0.08
AF, 325.0, 0.13
AFG, 65.0, 0.13
AFL, 12.0, 0.03
AFSI, 38.5, 0.055
Caught an exception executing update: java.sql.SQLException: Table 'finance.AGII' doesn't exist
Caught an exception executing update: java.sql.SQLException: Table 'finance.AGII_DIV' doesn't exist
AGL, 135.0, 0.27
AGM, 110.0, 0.1
AGN, 8.0, 0.04
AGNC, 840.0, 1.4
AGO, 60.0, 0.04
AHC, 378.0, 0.09
AHL, 105.0, 0.15
AHT, 460.0, 0.2
AI, 3600.0, 4.0
AIG, 376.0, 0.47
AIN, 64.0, 0.08
AINV, 868.0, 0.31
AIR, 88.0, 0.08
AIT, 25.0, 0.05
AIV, 540.0, 0.6
AIZ, 60.0, 0.12
AJG, 72.0, 0.12
