Will perform data parse...
Navy,203
Pacific,274
Binghamton,167
Clemson,387
Geo. Washington,134
Radford,130
Oregon,285
Georgia Southern,271
South Carolina Upstate,80
Oral Roberts,337
Kentucky,301
Wichita St.,185
Rider,300
Lamar,203
UCLA,543
Valparaiso,307
Villanova,348
Rhode Island,322
Virginia Tech,305
Kent St.,464
Vanderbilt,460
Charleston,212
Penn St.,223
Stony Brook,65
Texas St.,137
St. Mary's,358
Lafayette,213
N.C. Central Eagles,41
Grambling St.,86
Pepperdine,150
Texas A&amp;M C.C.,130
Norfolk St.,185
Saint Louis,233
UC Riverside,87
Washington St.,402
Missouri St.,276
Hofstra,164
Oakland,229
Weber St.,211
San Diego,280
West Virginia,370
Georgetown,468
N.J.I.T.,0
Western Carolina,128
Appalachian St.,255
Stetson,161
N.C. Asheville,268
Samford,165
Maine,93
Alcorn St.,90
Quinnipiac,178
Stanford,414
Sam Houston St.,263
W. Michigan,258
California,256
USC,356
Chattanooga,232
Ohio,290
South Florida,177
San Diego St.,286
Washington,237
Auburn,194
Liberty,199
Vermont,208
La Salle,215
Northern Colorado,165
Cincinnati,218
Oregon St.,61
Montana St.,182
Georgia,254
North Florida,44
Hawaii,143
Virginia,222
Manhattan,137
Marshall,241
San Francisco,113
Boston U.,157
Harvard,97
Jacksonville,189
Columbia,165
American,302
Sacramento St.,75
George Mason,379
IPFW,190
Wofford,203
Fair. Dickinson,87
Siena,345
Idaho St.,149
South Alabama,408
Alabama St.,227
Duquesne,244
Centenary,129
South Carolina,218
Colorado St.,94
Morehead St.,192
Georgia St.,131
Troy,155
Drexel,200
Alabama A&amp;M,142
Ohio St.,318
South Dakota St.,84
Morgan St.,295
Georgia Tech,245
Iowa St.,179
Savannah St.,145
Cornell,297
Princeton,78
Wright St.,309
LA Monroe,129
Hartford,237
Jacksonville St.,99
Dartmouth,104
Stephen F. Austin,305
Oklahoma,368
Kansas St.,323
Buffalo,101
Colgate,239
Drake,461
Towson,185
Marquette,388
Colorado,187
West. Kentucky,385
Gardner-Webb,201
UCSB,320
Santa Clara,140
Furman,82
Marist,265
VCU,372
Iowa,176
Miami (OH),260
SE Louisiana,223
Nebraska,276
Western Ill.,120
Idaho,84
Bethune-Cookman,123
LA Lafayette,194
Utah Valley St.,104
Alabama,276
Providence,244
Gonzaga,379
Coppin St.,171
Indiana St.,205
Long Island,175
Central Arkansas,147
Tenn-Martin,195
St. John's,156
Iona,141
Albany,204
Creighton,320
Michigan,151
Pennsylvania,131
Kennesaw St.,122
Tulane,227
East Carolina,130
New Mexico St.,272
Cleveland St.,322
Dayton,380
Richmond,242
Winthrop,292
SMU,114
McNeese St.,161
St. Joseph's,354
New Orleans,241
Prairie View A&amp;M,105
UTSA,156
Davidson,371
Minnesota,263
Eastern Illinois,76
Lipscomb,169
Maryland,309
Portland,98
Nevada,320
Rice,33
Ill. Chicago,230
Presbyterian,85
Connecticut,417
Yale,141
UNLV,423
Illinois,267
Purdue,381
Massachusetts,341
Oklahoma St.,274
Fairfield,220
Old Dominion,247
Illinois St.,367
E. Tennessee St.,253
Texas,509
Texas Southern,69
Fordham,159
MD Baltimore Cty.,344
Butler,442
Northeastern,195
Indiana,416
MD Eastern Shore,45
Army,178
Eastern Kentucky,150
North Dakota St.,191
North Carolina,626
Florida Atlantic,182
Air Force,191
Longwood,99
Bowling Green,180
St. Peter's,71
East. Michigan,180
IUPUI,341
BYU,408
Southern Ill.,302
Arkansas St.,123
