Will perform data parse...
Navy,-1485
Pacific,731
Binghamton,-2188
Clemson,2781
Geo. Washington,465
Radford,-2207
Oregon,715
Georgia Southern,-2844
South Carolina Upstate,-2621
Oral Roberts,860
Kentucky,4596
Wichita St.,2889
Rider,1640
Lamar,-581
UCLA,2757
Valparaiso,2696
Villanova,2877
Rhode Island,1446
Virginia Tech,2326
Kent St.,2555
Vanderbilt,3725
Charleston,2850
Penn St.,2444
Stony Brook,-611
Texas St.,1
North Dakota,-8
Seattle,-1466
St. Mary's,2641
Lafayette,-471
N.C. Central Eagles,-663
Grambling St.,-2004
Pepperdine,-667
Texas A&amp;M C.C.,-739
Norfolk St.,-1149
Saint Louis,125
UC Riverside,-594
Washington St.,1847
Missouri St.,3344
Hofstra,1522
Oakland,2845
Weber St.,1272
San Diego,-1845
West Virginia,3603
Georgetown,4157
N.J.I.T.,-465
Western Carolina,376
Appalachian St.,256
Stetson,-2133
N.C. Asheville,1225
Samford,-1164
Maine,-183
Alcorn St.,-2896
Quinnipiac,1047
Stanford,180
Sam Houston St.,491
W. Michigan,710
California,1699
USC,1857
Chattanooga,-23
Ohio,1229
South Florida,-226
San Diego St.,5637
Washington,3032
Auburn,-852
Liberty,660
Vermont,1742
La Salle,104
Northern Colorado,1246
Cincinnati,3258
Oregon St.,-481
Montana St.,-638
Georgia,2450
North Florida,-30
Hawaii,1284
Virginia,523
Manhattan,-2438
Houston Baptist,-2690
Marshall,1957
San Francisco,1291
Boston U.,830
Harvard,2306
Jacksonville,611
Columbia,109
American,1073
Sacramento St.,-1391
George Mason,3599
IPFW,828
Wofford,1682
Fair. Dickinson,-2858
Siena,-490
Idaho St.,-702
South Alabama,-1116
Alabama St.,-417
Duquesne,1009
Centenary,-3203
South Carolina,801
Colorado St.,1850
Morehead St.,2280
Georgia St.,-733
Troy,-1266
Drexel,1972
Alabama A&amp;M,-689
Ohio St.,5961
South Dakota St.,698
Morgan St.,-27
Georgia Tech,335
Iowa St.,775
Savannah St.,-1614
Cornell,-746
Princeton,2248
Wright St.,1181
LA Monroe,-1991
Hartford,-1649
Jacksonville St.,-2830
Dartmouth,-2123
Stephen F. Austin,27
Oklahoma,791
Kansas St.,3532
Buffalo,826
Colgate,-2539
Drake,-421
Towson,-2298
Marquette,2494
Colorado,2089
West. Kentucky,75
Gardner-Webb,-875
UCSB,1449
Santa Clara,966
Furman,1125
Marist,-2756
VCU,2599
Iowa,-257
Miami (OH),1469
SE Louisiana,-380
Nebraska,2149
Western Ill.,-2218
Idaho,795
Bethune-Cookman,1093
LA Lafayette,20
Utah Valley St.,740
Alabama,2083
Providence,310
Gonzaga,3189
Coppin St.,-254
Indiana St.,1924
Long Island,2383
Central Arkansas,-1863
Tenn-Martin,-1218
St. John's,3466
Iona,2531
Albany,-469
Creighton,1215
Michigan,2174
Pennsylvania,-538
Kennesaw St.,-2508
Tulane,-271
East Carolina,1067
New Mexico St.,512
Cleveland St.,3264
Dayton,2378
Richmond,3356
Winthrop,2
SMU,90
McNeese St.,393
St. Joseph's,-544
New Orleans,79
Prairie View A&amp;M,-1808
UTSA,391
Davidson,415
Minnesota,1625
Eastern Illinois,-1143
Lipscomb,946
Maryland,1596
Portland,1587
Nevada,-9
Rice,196
Ill. Chicago,-1532
Presbyterian,-301
Connecticut,4877
Yale,109
UNLV,3291
Illinois,2338
Purdue,4269
Massachusetts,452
Oklahoma St.,2418
Fairfield,2086
Old Dominion,4452
Illinois St.,-935
E. Tennessee St.,1469
Texas,4639
Texas Southern,77
Fordham,-1274
MD Baltimore Cty.,-2619
Butler,2954
Northeastern,-249
Indiana,-229
MD Eastern Shore,-1206
Army,-1543
Bryant,-1060
Eastern Kentucky,-521
North Dakota St.,-142
North Carolina,5038
Florida Atlantic,1329
Air Force,805
Longwood,-1745
Bowling Green,-690
St. Peter's,1580
East. Michigan,-1339
IUPUI,1471
BYU,5734
Southern Ill.,-384
Arkansas St.,926
Miss. Valley St.,-1006
Northern Arizona,401
St. Bonaventure,579
Mount St. Mary's,-1212
St. Francis (PA),-1396
CSU Fullerton,-1133
Tennessee Tech,1017
UTEP,2977
LSU,-707
Miami (FL),1871
Pittsburgh,4846
North Texas,1018
Coastal Carolina,1878
Akron,1930
New Hampshire,-1630
Xavier,3540
Citadel,-1084
SE Missouri St.,-1559
Hampton,1198
CSU Northridge,-458
Brown,-425
Temple,3253
Austin Peay,1111
Delaware,231
Ball St.,583
Duke,5546
Southern,-2932
Northwestern,1514
UC Davis,-789
Portland St.,-419
Long Beach St.,2313
Wyoming,-1404
Mo. Kansas City,124
New Mexico,2409
Sacred Heart Pioneers,-1725
Missouri,2757
Kansas,6619
TX Arlington,-874
San Jose St.,317
Texas A&amp;M,3226
Northern Illinois,-1825
N.C. Wilmington,-605
UC Irvine,-1347
Tennessee St.,-353
Evansville,767
Baylor,2062
Fresno St.,80
St. Francis (NY),-680
Elon,-610
Tennessee,3543
Seton Hall,845
Youngstown St.,-836
Texas Pan Amer.,-2171
Northern Iowa,2049
Loyola Marymount,-535
UCF,2201
Arizona St.,60
Charlotte,-930
South Dakota,-584
Wagner,28
Central Conn. St.,219
CSU Bakersfield,-1565
Holy Cross,-1953
Loyola (MD),20
S. Carolina St.,-1525
Tulsa,2080
Delaware St.,-1585
Wake Forest,-1564
James Madison,1810
DePaul,-1388
Wis. Milwaukee,1724
Middle Tenn. St.,-544
Loyola Chicago,266
Cent. Michigan,-1599
N.C. Greensboro,-1869
Murray St.,1980
Campbell,-1533
Detroit,862
Lehigh,-560
Syracuse,4254
Nicholls St.,-155
Northwestern St.,-452
(2) Michigan St.,2212
Jackson St.,-858
Boston Coll.,2442
Mercer,-692
Louisiana Tech,-723
Canisius,22
N.C. A&amp;T,-96
Louisville,4433
Cal Poly,-112
Mississippi St.,1293
TCU,-793
Robert Morris,1061
Toledo,-3213
Utah,453
Houston,-707
Rutgers,551
Florida,5126
SIU Edwardsville,-1028
AR Little Rock,443
Mississippi,1952
Boise St.,1156
Fla Gulf Coast Eagles,-1974
Memphis,3478
High Point,-472
Arkansas,1199
Notre Dame,4978
Utah St.,4108
Belmont,3044
Eastern Wash.,-474
UAB,2658
AR Pine Bluff,-2583
Charleston S.,99
Bradley,-845
Florida St.,2356
Chicago St.,-2584
Wis. Green Bay,2
Monmouth,-1617
Florida A&amp;M,-1041
Southern Utah,-587
Howard,-2350
N.C. State,809
Winston-Salem,0
Arizona,3675
Denver,-399
William &amp; Mary,-601
Montana,1485
Southern Miss,2205
Texas Tech,28
Bucknell,2111
Virginia Military,301
Niagara,-2336
Florida Intl.,-1150
Wisconsin,3595
