Will perform data parse...
Navy,139
Pacific,261
Binghamton,78
Clemson,371
Geo. Washington,215
Radford,52
Oregon,247
Georgia Southern,77
South Carolina Upstate,72
Oral Roberts,261
Kentucky,483
Wichita St.,382
Rider,308
Lamar,118
UCLA,370
Valparaiso,388
Villanova,375
Rhode Island,293
Virginia Tech,336
Kent St.,365
Vanderbilt,431
Charleston,391
Penn St.,344
Stony Brook,186
Texas St.,182
North Dakota,171
Seattle,152
St. Mary's,362
Lafayette,159
N.C. Central Eagles,149
Grambling St.,129
Pepperdine,155
Texas A&amp;M C.C.,129
Norfolk St.,143
Saint Louis,179
UC Riverside,166
Washington St.,310
Missouri St.,436
Hofstra,272
Oakland,372
Weber St.,264
San Diego,90
West Virginia,397
Georgetown,418
N.J.I.T.,147
Western Carolina,253
Appalachian St.,214
Stetson,116
N.C. Asheville,274
Samford,132
Maine,222
Alcorn St.,40
Quinnipiac,293
Stanford,209
Sam Houston St.,211
W. Michigan,260
California,281
USC,343
Chattanooga,195
Ohio,288
South Florida,144
San Diego St.,546
Washington,411
Auburn,156
Liberty,236
Vermont,300
La Salle,210
Northern Colorado,274
Cincinnati,386
Oregon St.,161
Montana St.,161
Georgia,337
North Florida,185
Hawaii,273
Virginia,233
Manhattan,76
Houston Baptist,60
Marshall,318
San Francisco,262
Boston U.,296
Harvard,311
Jacksonville,252
Columbia,171
American,257
Sacramento St.,87
George Mason,428
IPFW,205
Wofford,307
Fair. Dickinson,58
Siena,181
Idaho St.,137
South Alabama,111
Alabama St.,206
Duquesne,250
Centenary,6
South Carolina,213
Colorado St.,278
Morehead St.,340
Georgia St.,160
Troy,108
Drexel,311
Alabama A&amp;M,135
Ohio St.,594
South Dakota St.,214
Morgan St.,226
Georgia Tech,222
Iowa St.,234
Savannah St.,91
Cornell,143
Princeton,330
Wright St.,264
LA Monroe,81
Hartford,152
Jacksonville St.,52
Dartmouth,56
Stephen F. Austin,170
Oklahoma,214
Kansas St.,392
Buffalo,263
Colgate,80
Drake,198
Towson,58
Marquette,328
Colorado,313
West. Kentucky,218
Gardner-Webb,141
UCSB,297
Santa Clara,249
Furman,265
Marist,69
VCU,378
Iowa,169
Miami (OH),256
SE Louisiana,156
Nebraska,321
Western Ill.,56
Idaho,258
Bethune-Cookman,254
LA Lafayette,185
Utah Valley St.,216
Alabama,346
Providence,233
Gonzaga,387
Coppin St.,178
Indiana St.,318
Long Island,369
Central Arkansas,62
Tenn-Martin,105
St. John's,404
Iona,356
Albany,187
Creighton,290
Michigan,313
Pennsylvania,157
Kennesaw St.,72
Tulane,136
East Carolina,243
New Mexico St.,218
Cleveland St.,406
Dayton,357
Richmond,416
Winthrop,182
SMU,210
McNeese St.,205
St. Joseph's,165
New Orleans,13
Prairie View A&amp;M,123
UTSA,227
Davidson,249
Minnesota,297
Eastern Illinois,125
Lipscomb,244
Maryland,280
Portland,305
Nevada,207
Rice,193
Ill. Chicago,100
Presbyterian,160
Connecticut,487
Yale,181
UNLV,388
Illinois,342
Purdue,465
Massachusetts,236
Oklahoma St.,337
Fairfield,344
Old Dominion,473
Illinois St.,140
E. Tennessee St.,325
Texas,497
Texas Southern,212
Fordham,93
MD Baltimore Cty.,69
Butler,382
Northeastern,176
Indiana,177
MD Eastern Shore,131
Army,122
Bryant,142
Eastern Kentucky,158
North Dakota St.,172
North Carolina,515
Florida Atlantic,289
Air Force,213
Longwood,114
Bowling Green,183
St. Peter's,294
East. Michigan,120
IUPUI,271
BYU,542
Southern Ill.,195
Arkansas St.,259
Miss. Valley St.,129
Northern Arizona,222
St. Bonaventure,245
Mount St. Mary's,134
St. Francis (PA),126
CSU Fullerton,149
Tennessee Tech,242
UTEP,407
LSU,137
Miami (FL),313
Pittsburgh,494
North Texas,294
Coastal Carolina,314
Akron,351
New Hampshire,118
Xavier,420
Citadel,138
SE Missouri St.,126
Hampton,299
CSU Northridge,195
Brown,160
Temple,393
Austin Peay,253
Delaware,182
Ball St.,214
Duke,557
Southern,57
Northwestern,274
UC Davis,134
Portland St.,181
Long Beach St.,360
Wyoming,101
Mo. Kansas City,161
New Mexico,354
Sacred Heart Pioneers,133
Missouri,351
Kansas,629
TX Arlington,114
San Jose St.,236
Texas A&amp;M,384
Northern Illinois,100
N.C. Wilmington,159
UC Irvine,154
Tennessee St.,179
Evansville,255
Baylor,320
Fresno St.,199
St. Francis (NY),179
Elon,140
Tennessee,396
Seton Hall,216
Youngstown St.,133
Texas Pan Amer.,86
Northern Iowa,343
Loyola Marymount,159
UCF,328
Arizona St.,195
Charlotte,144
South Dakota,171
Wagner,198
Central Conn. St.,225
CSU Bakersfield,119
Holy Cross,92
Loyola (MD),185
S. Carolina St.,119
Tulsa,334
Delaware St.,113
Wake Forest,103
James Madison,316
DePaul,102
