Wins and Losses,,,Wins Only 
Kansas,606,,
Kentucky,568,,
Syracuse,496,,
Duke,492,,
West Virginia,474,,
New Mexico,456,,
Temple,446,,
Butler,442,,
Kansas St.,434,,
Purdue,415,,
Northern Iowa,415,,
BYU,393,,
Tennessee,386,,
Baylor,380,,
Ohio St.,379,,
Murray St.,379
Georgetown,377
Gonzaga,372
Pittsburgh,370
Richmond,369
Vanderbilt,360
St. Mary's,357
UTEP,357
Villanova,356
Utah St.,356
Siena,352
Old Dominion,343
Wisconsin,338
Texas A&amp;M,337
Oakland,335
(2) Michigan St.,333
Xavier,327
California,322
Maryland,318
Texas,314
San Diego St.,311
Cornell,311
UNLV,298
Washington,296
UAB,293
Memphis,292
Rhode Island,287
Oklahoma St.,283
Notre Dame,283
Wichita St.,278
Florida St.,278
Kent St.,276
Missouri,273
New Mexico St.,269
Clemson,268
Morehead St.,267
Georgia Tech,267
Louisville,267
Wofford,257
Mississippi St.,256
Virginia Tech,255
Sam Houston St.,254
Marquette,253
Akron,251
Coastal Carolina,240
VCU,239
Arizona St.,239
Morgan St.,238
Florida,238
Tulsa,234
IUPUI,233
Wake Forest,233
North Texas,229
Mississippi,229
Minnesota,228
William &amp; Mary,225
Dayton,222
Portland,215
Louisiana Tech,215
Montana,212
Marshall,211
Nevada,209
Illinois St.,207
Harvard,206
Stephen F. Austin,206
Appalachian St.,200
Seton Hall,198
Northern Colorado,196
Vermont,192
Fairfield,191
Iona,189
Northeastern,189
Weber St.,186
Charleston,181
South Florida,180
Illinois,168
Charlotte,166
Saint Louis,164
Cincinnati,164
Connecticut,161
Stony Brook,160
UCSB,159
Ohio,158
Wright St.,158
Robert Morris,158
Western Carolina,157
Texas Tech,155
Missouri St.,154
Quinnipiac,148
Oral Roberts,146
Wis. Green Bay,141
Pacific,140
E. Tennessee St.,138
Northwestern,138
Lehigh,138
N.C. State,138
Miami (FL),136
Houston,136
Troy,135
St. John's,135
West. Kentucky,134
Princeton,129
Belmont,117
North Carolina,115
Eastern Illinois,114
Alabama,112
Indiana St.,111
Radford,110
Hofstra,109
Wis. Milwaukee,109
Maine,108
Denver,106
Buffalo,105
Colorado,103
Arizona,103
Southern Miss,103
Eastern Kentucky,100
South Dakota,96
Middle Tenn. St.,95
Bradley,93
Boston U.,92
South Carolina,92
USC,89
Colorado St.,88
Long Beach St.,88
Davidson,86
Loyola Marymount,86
Jacksonville,85
TX Arlington,83
Niagara,77
UTSA,76
Cleveland St.,75
Virginia,72
Austin Peay,71
Detroit,71
Campbell,70
Oregon,69
Creighton,69
Duquesne,64
SE Louisiana,64
Boston Coll.,63
George Mason,62
Citadel,62
W. Michigan,61
Iowa St.,60
Georgia,57
Winthrop,57
Rider,54
Montana St.,52
Jackson St.,50
Texas A&amp;M C.C.,49
Idaho,47
Rutgers,43
Geo. Washington,42
St. Bonaventure,38
Delaware St.,36
Nebraska,35
St. Peter's,33
Drexel,32
Oklahoma,31
Seattle,30
East. Michigan,30
CSU Fullerton,30
Auburn,29
Michigan,28
UCLA,25
Bethune-Cookman,25
Lafayette,24
Utah,24
Arkansas,24
IPFW,22
Mount St. Mary's,19
Valparaiso,18
Washington St.,18
Southern Ill.,15
Mercer,15
Arkansas St.,12
Lipscomb,9
AR Pine Bluff,9
Miami (OH),7
Texas Southern,-1
Stanford,-2
Cent. Michigan,-3
Liberty,-6
South Alabama,-6
San Jose St.,-6
S. Carolina St.,-7
Fresno St.,-8
UCF,-10
Providence,-14
Texas St.,-15
Drake,-16
Ball St.,-16
Alabama St.,-17
Oregon St.,-19
Northern Arizona,-19
Boise St.,-21
Western Ill.,-22
High Point,-22
Prairie View A&amp;M,-25
N.C. Asheville,-27
San Francisco,-28
Bowling Green,-28
Charleston S.,-28
Chattanooga,-29
TCU,-29
Winston-Salem,-29
La Salle,-34
SMU,-34
Massachusetts,-36
Tennessee Tech,-37
LA Lafayette,-38
Canisius,-42
Portland St.,-49
Loyola Chicago,-51
UC Riverside,-53
Savannah St.,-53
South Dakota St.,-55
Wyoming,-55
Binghamton,-57
Florida Atlantic,-59
Loyola (MD),-60
Army,-61
St. Joseph's,-63
Samford,-66
UC Davis,-71
North Dakota St.,-72
Lamar,-76
Long Island,-78
Penn St.,-81
New Hampshire,-81
Columbia,-82
Longwood,-82
Virginia Military,-82
San Diego,-84
Sacred Heart Pioneers,-87
LSU,-91
Alabama A&amp;M,-92
Navy,-95
Santa Clara,-96
North Florida,-97
Georgia St.,-97
LA Monroe,-97
Nicholls St.,-98
Eastern Wash.,-101
Yale,-102
East Carolina,-103
Bucknell,-105
Iowa,-107
Hawaii,-111
Indiana,-111
Northwestern St.,-111
UC Irvine,-114
Manhattan,-116
James Madison,-117
Furman,-120
Cal Poly,-123
Mo. Kansas City,-125
Hampton,-127
Air Force,-128
Brown,-129
Norfolk St.,-132
McNeese St.,-133
CSU Northridge,-133
AR Little Rock,-138
Jacksonville St.,-148
DePaul,-148
Colgate,-151
Central Conn. St.,-152
Central Arkansas,-153
Monmouth,-153
St. Francis (PA),-154
Northern Illinois,-154
N.C. A&amp;T,-154
Sacramento St.,-157
Evansville,-157
Idaho St.,-160
Utah Valley St.,-161
Fair. Dickinson,-163
N.C. Wilmington,-166
Youngstown St.,-166
Kennesaw St.,-167
N.C. Greensboro,-167
St. Francis (NY),-169
Georgia Southern,-173
Centenary,-173
Elon,-173
Tulane,-177
Towson,-178
Tennessee St.,-181
Delaware,-183
American,-185
MD Eastern Shore,-186
Houston Baptist,-191
Holy Cross,-192
Ill. Chicago,-201
