Will perform data parse...
Navy,-48
Pacific,-79
Binghamton,-98
Clemson,247
Geo. Washington,176
Radford,-176
Oregon,298
Georgia Southern,-7
Oral Roberts,188
Kentucky,311
Wichita St.,101
Rider,-15
Lamar,18
UCLA,422
Valparaiso,-3
Villanova,291
Rhode Island,99
Virginia Tech,220
Kent St.,200
Vanderbilt,222
Charleston,192
Penn St.,-57
Stony Brook,-184
Texas St.,-181
St. Mary's,39
Lafayette,-196
Grambling St.,-65
Pepperdine,-203
Texas A&amp;M C.C.,229
Norfolk St.,-144
Saint Louis,156
UC Riverside,-256
Washington St.,317
Missouri St.,253
Hofstra,194
Oakland,68
Weber St.,111
San Diego,33
West Virginia,215
Georgetown,354
N.J.I.T.,-293
Western Carolina,-103
Appalachian St.,318
Stetson,-128
N.C. Asheville,-36
Samford,37
Maine,-116
Alcorn St.,-150
Quinnipiac,-30
Stanford,173
Sam Houston St.,187
W. Michigan,37
California,100
USC,247
Chattanooga,-17
Ohio,138
South Florida,-55
San Diego St.,188
Washington,152
Auburn,103
Liberty,-65
Vermont,252
La Salle,-156
Northern Colorado,-318
Cincinnati,-33
Oregon St.,-111
Montana St.,-128
Georgia,179
North Florida,-293
Hawaii,125
Virginia,241
Manhattan,-85
Marshall,-29
San Francisco,-47
Boston U.,-87
Harvard,-40
Jacksonville,52
Columbia,6
American,4
Sacramento St.,-139
George Mason,78
IPFW,-16
Wofford,-132
Fair. Dickinson,-69
Siena,106
Idaho St.,-26
South Alabama,142
Alabama St.,-156
Duquesne,-111
Centenary,-184
South Carolina,59
Colorado St.,88
Morehead St.,-99
Georgia St.,-125
Troy,-37
Drexel,264
Alabama A&amp;M,-188
Ohio St.,470
South Dakota St.,-282
Morgan St.,-148
Georgia Tech,224
Iowa St.,16
Savannah St.,-120
Cornell,18
Princeton,-95
Wright St.,235
LA Monroe,34
Hartford,-103
Jacksonville St.,-163
Dartmouth,-119
Stephen F. Austin,19
Oklahoma,113
Kansas St.,218
Buffalo,-106
Colgate,-123
Drake,114
Towson,-4
Marquette,331
Colorado,-181
West. Kentucky,175
Gardner-Webb,-122
UCSB,80
Santa Clara,159
Furman,22
Marist,188
VCU,348
Iowa,92
Miami (OH),62
SE Louisiana,-36
Nebraska,75
Western Ill.,-246
Idaho,-302
Bethune-Cookman,-226
LA Lafayette,-161
Utah Valley St.,171
Alabama,224
Providence,166
Gonzaga,256
Coppin St.,-144
Indiana St.,-12
Long Island,-180
Central Arkansas,-179
Tenn-Martin,-223
St. John's,76
Iona,-416
Albany,169
Creighton,290
Michigan,226
Pennsylvania,181
Kennesaw St.,-81
Tulane,62
East Carolina,-255
New Mexico St.,187
Cleveland St.,-128
Dayton,171
Richmond,-188
Winthrop,344
SMU,-47
McNeese St.,-10
St. Joseph's,132
New Orleans,-44
Prairie View A&amp;M,-201
UTSA,-217
Davidson,382
Minnesota,-119
Eastern Illinois,-150
Lipscomb,59
Maryland,365
Portland,-156
Nevada,372
Rice,30
Ill. Chicago,-17
Connecticut,114
Yale,11
UNLV,375
Illinois,259
Purdue,227
Massachusetts,241
Oklahoma St.,203
Fairfield,-74
Old Dominion,304
Illinois St.,45
E. Tennessee St.,211
Texas,254
Texas Southern,-34
Fordham,124
MD Baltimore Cty.,-102
Butler,375
Northeastern,-74
Indiana,221
MD Eastern Shore,-369
Army,-51
Eastern Kentucky,150
North Dakota St.,126
North Carolina,431
Florida Atlantic,2
Air Force,242
Longwood,-187
Bowling Green,-100
St. Peter's,-377
East. Michigan,-110
IUPUI,30
BYU,286
Southern Ill.,395
Arkansas St.,13
Miss. Valley St.,-12
Northern Arizona,79
St. Bonaventure,-211
