Will perform data parse...
Navy,-30
Pacific,-75
Binghamton,-75
Clemson,252
Geo. Washington,231
Radford,-175
Oregon,358
Georgia Southern,-7
Oral Roberts,191
Kentucky,321
Wichita St.,101
Rider,-11
Lamar,24
UCLA,430
Valparaiso,-2
Villanova,297
Rhode Island,124
Virginia Tech,242
Kent St.,205
Vanderbilt,227
Charleston,192
Penn St.,-51
Stony Brook,-179
Texas St.,-176
St. Mary's,39
Lafayette,-176
Grambling St.,-64
Pepperdine,-200
Texas A&amp;M C.C.,282
Norfolk St.,-137
Saint Louis,162
UC Riverside,-253
Washington St.,321
Missouri St.,257
Hofstra,196
Oakland,69
Weber St.,112
San Diego,34
West Virginia,218
Georgetown,416
N.J.I.T.,-290
Western Carolina,-103
Appalachian St.,319
Stetson,-127
N.C. Asheville,-35
Samford,41
Maine,-111
Alcorn St.,-147
Quinnipiac,-29
Stanford,178
Sam Houston St.,194
W. Michigan,42
California,104
USC,282
Chattanooga,-15
Ohio,145
South Florida,-53
San Diego St.,194
Washington,156
Auburn,103
Liberty,-64
Vermont,255
La Salle,-154
Northern Colorado,-305
Cincinnati,-25
Oregon St.,-108
Montana St.,-127
Georgia,195
North Florida,-286
Hawaii,134
Virginia,248
Manhattan,-73
Marshall,-24
San Francisco,-44
Boston U.,-80
Harvard,-37
Jacksonville,54
Columbia,6
American,12
Sacramento St.,-136
George Mason,80
IPFW,-14
Wofford,-130
Fair. Dickinson,-67
Siena,111
Idaho St.,-24
South Alabama,143
Alabama St.,-156
Duquesne,-111
Centenary,-184
South Carolina,63
Colorado St.,109
Morehead St.,-98
Georgia St.,-124
Troy,-35
Drexel,264
Alabama A&amp;M,-186
Ohio St.,539
South Dakota St.,-282
Morgan St.,-146
Georgia Tech,233
Iowa St.,20
Savannah St.,-118
Cornell,22
Princeton,-94
Wright St.,238
LA Monroe,38
Hartford,-97
Jacksonville St.,-162
Dartmouth,-117
Stephen F. Austin,26
Oklahoma,116
Kansas St.,224
Buffalo,-100
Colgate,-114
Drake,115
Towson,-2
Marquette,336
Colorado,-153
West. Kentucky,182
Gardner-Webb,-120
UCSB,85
Santa Clara,161
Furman,22
Marist,207
VCU,350
Iowa,113
Miami (OH),123
SE Louisiana,-33
Nebraska,93
Western Ill.,-246
Idaho,-298
Bethune-Cookman,-223
LA Lafayette,-158
Utah Valley St.,172
Alabama,229
Providence,171
Gonzaga,260
Coppin St.,-141
Indiana St.,-11
Long Island,-176
Central Arkansas,-174
Tenn-Martin,-221
St. John's,77
Iona,-384
Albany,204
Creighton,293
Michigan,236
Pennsylvania,181
Kennesaw St.,-81
Tulane,65
East Carolina,-254
New Mexico St.,244
Cleveland St.,-126
Dayton,177
Richmond,-186
Winthrop,347
SMU,-45
McNeese St.,-6
St. Joseph's,135
New Orleans,-24
Prairie View A&amp;M,-199
UTSA,-197
Davidson,382
Minnesota,-112
Eastern Illinois,-149
Lipscomb,59
Maryland,374
Portland,-154
Nevada,378
Rice,33
Ill. Chicago,-13
Connecticut,117
Yale,15
UNLV,435
Illinois,293
Purdue,245
Massachusetts,244
Oklahoma St.,249
Fairfield,-68
Old Dominion,307
Illinois St.,47
E. Tennessee St.,211
Texas,307
Texas Southern,-30
Fordham,113
MD Baltimore Cty.,-96
Butler,375
Northeastern,-74
Indiana,228
MD Eastern Shore,-363
Army,-42
Eastern Kentucky,152
North Dakota St.,126
North Carolina,486
Florida Atlantic,8
Air Force,272
Longwood,-185
Bowling Green,-93
St. Peter's,-343
East. Michigan,-89
IUPUI,31
BYU,319
Southern Ill.,396
Arkansas St.,58
Miss. Valley St.,6
Northern Arizona,82
St. Bonaventure,-211
