Will perform data parse...
Navy,154
Pacific,130
Binghamton,176
Clemson,353
Geo. Washington,316
Radford,89
Oregon,437
Georgia Southern,168
Oral Roberts,310
Kentucky,413
Wichita St.,257
Rider,191
Lamar,221
UCLA,488
Valparaiso,194
Villanova,379
Rhode Island,269
Virginia Tech,377
Kent St.,297
Vanderbilt,350
Charleston,287
Penn St.,166
Stony Brook,110
Texas St.,77
St. Mary's,204
Lafayette,89
Grambling St.,136
Pepperdine,110
Texas A&amp;M C.C.,333
Norfolk St.,129
Saint Louis,315
UC Riverside,65
Washington St.,387
Missouri St.,355
Hofstra,328
Oakland,249
Weber St.,256
San Diego,202
West Virginia,307
Georgetown,468
N.J.I.T.,56
Western Carolina,123
Appalachian St.,396
Stetson,127
N.C. Asheville,151
Samford,239
Maine,145
Alcorn St.,149
Quinnipiac,181
Stanford,297
Sam Houston St.,286
W. Michigan,237
California,269
USC,390
Chattanooga,171
Ohio,309
South Florida,146
San Diego St.,308
Washington,287
Auburn,261
Liberty,130
Vermont,341
La Salle,118
Northern Colorado,38
Cincinnati,184
Oregon St.,115
Montana St.,126
Georgia,301
North Florida,68
Hawaii,276
Virginia,355
Manhattan,162
Marshall,201
San Francisco,155
Boston U.,149
Harvard,173
Jacksonville,203
Columbia,173
American,185
Sacramento St.,112
George Mason,240
IPFW,139
Wofford,117
Fair. Dickinson,178
Siena,254
Idaho St.,161
South Alabama,288
Alabama St.,123
Duquesne,153
Centenary,104
South Carolina,237
Colorado St.,235
Morehead St.,162
Georgia St.,114
Troy,192
Drexel,339
Alabama A&amp;M,90
Ohio St.,555
South Dakota St.,64
Morgan St.,147
Georgia Tech,355
Iowa St.,190
Savannah St.,103
Cornell,181
Princeton,138
Wright St.,376
LA Monroe,214
Hartford,153
Jacksonville St.,123
Dartmouth,101
Stephen F. Austin,178
Oklahoma,241
Kansas St.,334
Buffalo,167
Colgate,124
Drake,271
Towson,182
Marquette,410
Colorado,96
West. Kentucky,307
Gardner-Webb,105
UCSB,224
Santa Clara,289
Furman,178
Marist,313
VCU,404
Iowa,267
Miami (OH),298
SE Louisiana,156
Nebraska,259
Western Ill.,86
Idaho,39
Bethune-Cookman,101
LA Lafayette,98
Utah Valley St.,241
Alabama,354
Providence,298
Gonzaga,352
Coppin St.,121
Indiana St.,216
Long Island,122
Central Arkansas,96
Tenn-Martin,94
St. John's,232
Iona,23
Albany,300
Creighton,408
Michigan,333
Pennsylvania,278
Kennesaw St.,134
Tulane,217
East Carolina,62
New Mexico St.,341
Cleveland St.,129
Dayton,313
Richmond,101
Winthrop,359
SMU,166
McNeese St.,190
St. Joseph's,286
New Orleans,195
Prairie View A&amp;M,118
UTSA,74
Davidson,409
Minnesota,129
Eastern Illinois,130
Lipscomb,226
Maryland,473
Portland,118
Nevada,411
Rice,206
Ill. Chicago,210
Connecticut,256
Yale,176
UNLV,486
Illinois,390
Purdue,351
Massachusetts,345
Oklahoma St.,381
Fairfield,160
Old Dominion,391
Illinois St.,235
E. Tennessee St.,301
Texas,385
Texas Southern,194
Fordham,235
MD Baltimore Cty.,150
Butler,436
Northeastern,147
Indiana,327
MD Eastern Shore,49
Army,164
Eastern Kentucky,295
North Dakota St.,207
North Carolina,552
Florida Atlantic,199
Air Force,364
Longwood,108
Bowling Green,159
St. Peter's,44
East. Michigan,161
IUPUI,191
BYU,396
Southern Ill.,470
Arkansas St.,260
Miss. Valley St.,219
Northern Arizona,221
St. Bonaventure,94
Mount St. Mary's,132
St. Francis (PA),80
CSU Fullerton,200
Tennessee Tech,249
UTEP,193
LSU,314
Miami (FL),207
Pittsburgh,508
North Texas,274
Coastal Carolina,178
Akron,374
New Hampshire,112
Xavier,420
Citadel,88
SE Missouri St.,138
Hampton,190
CSU Northridge,157
Brown,143
Temple,174
Austin Peay,283
Delaware,80
Ball St.,104
Duke,431
Southern,137
Northwestern,167
UC Davis,85
Portland St.,194
Long Beach St.,297
Wyoming,252
Mo. Kansas City,138
New Mexico,197
Sacred Heart,229
Missouri,290
Kansas,519
TX Arlington,153
San Jose St.,63
Texas A&amp;M,431
Northern Illinois,85
N.C. Wilmington,85
UC Irvine,184
Tennessee St.,146
Evansville,225
Baylor,208
Fresno St.,333
St. Francis (NY),122
Elon,105
Tennessee,430
Seton Hall,168
Youngstown St.,203
Texas Pan Amer.,107
Northern Iowa,291
Loyola Marymount,204
UCF,262
Arizona St.,115
Charlotte,185
Wagner,117
Central Conn. St.,281
Holy Cross,352
Loyola (MD),237
S. Carolina St.,146
Tulsa,257
Delaware St.,245
Wake Forest,225
James Madison,78
DePaul,314
Wis. Milwaukee,120
Middle Tenn. St.,218
Loyola Chicago,296
Cent. Michigan,149
N.C. Greensboro,189
Murray St.,221
Campbell,158
Detroit,147
Lehigh,189
Syracuse,371
Nicholls St.,113
Northwestern St.,244
Michigan St.,395
Jackson St.,265
Boston Coll.,357
Mercer,123
Louisiana Tech,140
Canisius,123
N.C. A&amp;T,195
Louisville,368
Cal Poly,239
Mississippi St.,313
TCU,174
Robert Morris,202
Toledo,272
Utah,207
Houston,271
Rutgers,129
Florida,520
AR Little Rock,156
Mississippi,328
Boise St.,235
Memphis,511
High Point,234
Arkansas,390
Notre Dame,377
Utah St.,370
Belmont,302
Eastern Wash.,178
UAB,202
AR Pine Bluff,139
Charleston S.,106
Bradley,357
Florida St.,340
Chicago St.,113
Wis. Green Bay,216
Monmouth,147
Florida A&amp;M,234
Southern Utah,163
Howard,92
N.C. State,299
Winston-Salem,71
Arizona,385
Denver,57
William &amp; Mary,183
Montana,180
Southern Miss,240
Texas Tech,365
Bucknell,315
Virginia Military,136
Niagara,304
Florida Intl.,166
Wisconsin,518
